ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0263 287.4156 -34.9513   287.4125 -34.9542 504.2   0.427
P0264 287.4042 -35.0331   287.4042 -35.0292 250.2   0.438
P0265 287.3454 -35.1211   287.3458 -35.1208 274.2   0.049
P0266 287.4033 -35.1881   287.4042 -35.1875 169.6   0.103
P0267 287.3672 -35.2408   287.3708 -35.2375 195.3   0.494
P0268 287.3051 -35.2706   287.3042 -35.2708 163.8   0.089
P0269 287.2593 -35.3459   287.2625 -35.3458 176.5   0.291
P0270 287.1692 -35.3396   287.1708 -35.3375 203.9   0.277
P0271 287.0913 -35.3462   287.0875 -35.3458 315.3   0.348
P0272 287.0385 -35.4039   287.0375 -35.4042 222.8   0.096
P0273 287.0190 -35.4633   287.0208 -35.4625 178.6   0.189
P0274 286.9857 -35.5117   286.9875 -35.5125 229.3   0.186
P0275 286.9656 -35.5716   286.9625 -35.5708 192.3   0.294
P0276 286.9291 -35.6792   286.9292 -35.6792 277.7   0.007
P0277 286.9345 -35.7784   286.9375 -35.7792 216.4   0.284
P0278 287.0145 -35.8548   287.0125 -35.8542 198.4   0.194
P0279 287.0751 -35.9833   287.0792 -35.9792 188.8   0.589
P0280 287.0546 -36.0761   287.0542 -36.0792 189.6   0.344
P0281 286.9486 -36.1538   286.9458 -36.1542 230.3   0.252
P0282 286.8188 -36.1797   286.8208 -36.1792 202.6   0.192
P0283 286.7551 -36.1559   286.7542 -36.1542 214.9   0.211
P0284 286.6748 -36.0333   286.6708 -36.0292 230.0   0.583
P0285 286.6231 -36.0113   286.6208 -36.0125 213.1   0.244
P0286 286.5687 -36.0533   286.5708 -36.0542 186.3   0.215
P0287 286.5130 -36.1227   286.5125 -36.1208 230.5   0.213
P0288 286.4846 -36.1787   286.4875 -36.1792 184.4   0.266
P0289 286.4656 -36.2504   286.4625 -36.2542 158.4   0.504
P0290 286.4609 -36.3450   286.4625 -36.3458 395.4   0.171
P0291 286.4612 -36.4283   286.4625 -36.4292 266.7   0.151
P0292 286.4485 -36.5040   286.4458 -36.5042 208.1   0.240
P0293 286.4437 -36.5703   286.4458 -36.5708 190.6   0.200
P0294 286.4378 -36.6556   286.4375 -36.6542 206.4   0.162
P0295 286.4325 -36.7120   286.4292 -36.7125 143.5   0.303
P0296 286.5500 -36.7667   286.5542 -36.7708 129.7   0.595
P0297 286.6333 -36.8000   286.6292 -36.8042 210.9   0.595
P0298 286.7833 -36.8333   286.7792 -36.8292 216.7   0.594
P0299 286.6500 -36.8500   286.6542 -36.8542 147.0   0.595
P0300 286.4833 -36.9167   286.4792 -36.9208 277.2   0.594
P0301 286.3869 -36.8181   286.3875 -36.8208 186.9   0.309
P0302 286.3499 -36.8579   286.3458 -36.8542 248.8   0.552
P0303 286.3315 -36.9128   286.3292 -36.9125 212.5   0.211
P0304 286.3507 -36.9459   286.3542 -36.9458 191.3   0.309
P0305 286.2881 -37.0014   286.2875 -37.0042 222.9   0.313
P0306 286.2511 -37.0711   286.2542 -37.0708 215.9   0.274
P0307 286.2419 -37.1246   286.2458 -37.1208 111.3   0.546
P0308 286.2911 -37.1670   286.2875 -37.1708 162.2   0.533
P0309 286.2768 -37.2290   286.2792 -37.2292 221.0   0.211
P0310 286.2690 -37.3366   286.2708 -37.3375 153.8   0.191
P0311 286.2041 -37.3818   286.2042 -37.3792 220.1   0.293
P0312 286.2084 -37.4333   286.2125 -37.4292 192.4   0.586
P0313 286.2219 -37.5637   286.2208 -37.5625 196.1   0.164
P0314 286.2423 -37.6407   286.2458 -37.6375 184.4   0.474
P0315 286.2554 -37.7101   286.2542 -37.7125 191.4   0.289
P0316 286.2295 -37.7371   286.2292 -37.7375 209.3   0.053
P0317 286.2124 -37.7751   286.2125 -37.7792 198.7   0.453
P0318 286.1638 -37.8550   286.1625 -37.8542 184.2   0.147
P0319 286.1164 -37.9043   286.1125 -37.9042 222.1   0.343
P0320 286.0627 -37.9876   286.0625 -37.9875 200.2   0.021
P0321 286.0807 -38.0447   286.0792 -38.0458 197.8   0.185
P0322 286.1748 -38.0755   286.1708 -38.0792 187.2   0.537
P0323 286.2582 -38.1333   286.2542 -38.1292 176.7   0.581
P0324 286.2676 -38.2077   286.2708 -38.2042 180.7   0.485
