1417
0.00 288.105 -31.63488 22.90 10 10 3.10 17.90 92.00 1.59
0.00 288.211 -31.63488 26.30 10 10 2.60 20.00 87.00 0.00
0.00 288.316 -31.63488 30.10 10 10 2.20 22.00 98.00 0.00
0.00 288.421 -31.63488 34.30 10 10 1.70 23.90 86.00 0.00
0.00 288.526 -31.63488 38.90 10 10 1.10 25.40 95.00 0.00
0.00 288.632 -31.63488 43.80 10 10 2.60 26.50 98.00 0.00
0.00 288.737 -31.63488 48.80 10 10 195.50 27.20 85.00 0.00
0.00 288.842 -31.63488 54.00 10 10 2.00 27.40 86.00 0.00
0.00 288.947 -31.63488 59.10 10 10 359.00 27.20 93.00 0.00
0.00 289.053 -31.63488 64.20 10 10 358.40 26.50 92.00 0.00
0.00 287.368 -31.72480 8.70 10 10 3.30 6.40 95.00 1.05
0.00 287.474 -31.72480 10.00 10 10 3.50 7.70 87.00 0.86
0.00 287.579 -31.72480 11.40 10 10 3.70 9.00 90.00 0.70
0.00 287.684 -31.72480 13.10 10 10 3.70 10.50 85.00 0.58
0.00 287.789 -31.72480 15.10 10 10 3.70 12.10 88.00 0.77
0.00 287.895 -31.72480 17.40 10 10 3.60 13.90 88.00 1.95
0.00 288 -31.72480 20.00 10 10 3.30 15.80 92.00 2.14
0.00 288.105 -31.72480 23.00 10 10 2.90 17.90 96.00 2.50
0.00 288.211 -31.72480 26.50 10 10 2.50 19.90 97.00 0.00
0.00 288.316 -31.72480 30.30 10 10 2.00 21.90 92.00 0.00
0.00 288.421 -31.72480 34.50 10 10 1.40 23.70 92.00 0.00
0.00 288.526 -31.72480 39.00 10 10 0.90 25.20 93.00 0.00
0.00 288.632 -31.72480 43.80 10 10 315.40 26.30 98.00 0.00
0.00 288.737 -31.72480 48.80 10 10 14.70 27.00 99.00 0.00
0.00 288.842 -31.72480 53.90 10 10 359.10 27.20 96.00 0.00
0.00 288.947 -31.72480 59.00 10 10 358.50 27.00 94.00 0.00
0.00 289.053 -31.72480 64.10 10 10 357.80 26.30 92.00 0.00
0.00 287.368 -31.81471 8.80 10 10 3.00 6.50 92.00 1.50
0.00 287.474 -31.81471 10.10 10 10 3.20 7.80 85.00 1.16
